"","BTC_DASH","BTC_ETH","BTC_LTC","BTC_XRP","BTC_NXT","BTC_BTS","BTC_STR","BTC_XEM","BTC_XMR","BTC_ZEC"
"47",0.06021692,0.04896551,0.0110292,3.059e-05,2.116e-05,1.042e-05,3.14e-06,3.445e-05,0.01664096,0.06188137
"48",0.05991154,0.049189,0.01117,3.459e-05,2.165e-05,1.042e-05,3.48e-06,3.611e-05,0.01671195,0.0621401
"49",0.06180999,0.05128002,0.011265,3.244e-05,2.172e-05,1.06e-05,3.49e-06,3.72e-05,0.01686527,0.06461291
"50",0.0604,0.053457,0.01092006,3.38e-05,2.125e-05,1.059e-05,3.42e-06,3.725e-05,0.01696718,0.063883
"51",0.06200032,0.05248493,0.011308,3.716e-05,2.189e-05,1.183e-05,3.43e-06,3.768e-05,0.016795,0.06675001
"52",0.06620011,0.052037,0.01108,3.857e-05,2.23e-05,1.185e-05,3.68e-06,3.631e-05,0.01683,0.06722795
"53",0.07366,0.05183006,0.01153708,3.884e-05,2.217e-05,1.191e-05,3.63e-06,3.635e-05,0.017471,0.06770055
"54",0.07085,0.05320215,0.01162903,3.851e-05,2.204e-05,1.131e-05,3.89e-06,3.719e-05,0.01720501,0.068502
"55",0.07236,0.052138,0.01150606,4.134e-05,2.237e-05,1.158e-05,3.75e-06,3.715e-05,0.01705999,0.07132998
"56",0.07140018,0.0514001,0.01194901,3.98e-05,2.258e-05,1.177e-05,3.77e-06,3.628e-05,0.01719507,0.072421
"57",0.07199857,0.0527,0.01228001,3.998e-05,2.292e-05,1.247e-05,3.85e-06,3.694e-05,0.0181998,0.07497684
"58",0.07359001,0.05270732,0.01204999,3.898e-05,2.265e-05,1.288e-05,3.89e-06,3.74e-05,0.01804306,0.07178456
"59",0.07252,0.05319001,0.01201678,3.84e-05,2.321e-05,1.253e-05,3.87e-06,3.745e-05,0.01828906,0.06890307
"60",0.07095,0.05409897,0.01190006,3.945e-05,2.312e-05,1.247e-05,3.81e-06,3.848e-05,0.01816203,0.07137894
"61",0.07,0.0576,0.01182499,3.89e-05,2.386e-05,1.246e-05,3.62e-06,3.752e-05,0.01804306,0.07245725
"62",0.06818037,0.05823999,0.01172903,3.833e-05,2.363e-05,1.204e-05,3.58e-06,3.831e-05,0.01763477,0.06940597
"63",0.06734532,0.05881182,0.01157321,3.933e-05,2.268e-05,1.188e-05,3.94e-06,3.999e-05,0.01708879,0.07061972
"64",0.07089977,0.05875001,0.01205981,4.166e-05,2.294e-05,1.207e-05,3.91e-06,4.07e-05,0.01748102,0.0711892
"65",0.06938998,0.05815782,0.01190364,4.121e-05,2.3e-05,1.252e-05,4.05e-06,4.04e-05,0.0171,0.0751
"66",0.06464294,0.05437446,0.0114,3.852e-05,2.027e-05,1.127e-05,3.69e-06,3.737e-05,0.01646999,0.06807011
"67",0.06149999,0.05293098,0.01088957,3.688e-05,2.04e-05,1.099e-05,3.48e-06,3.521e-05,0.01606084,0.06317961
"68",0.06184813,0.05300004,0.01128383,3.89e-05,2.01e-05,1.079e-05,3.67e-06,3.724e-05,0.01604597,0.06319859
"69",0.06178989,0.05475001,0.01106072,3.85e-05,2.045e-05,1.079e-05,3.62e-06,3.689e-05,0.016162,0.06603503
"70",0.06246998,0.05433,0.01111166,3.76e-05,1.965e-05,1.069e-05,3.45e-06,3.546e-05,0.01594077,0.06400011
"71",0.05847519,0.05076841,0.01061757,3.559e-05,1.808e-05,9.87e-06,3.12e-06,3.355e-05,0.01541002,0.06050001
"72",0.05857582,0.05300619,0.01096437,3.644e-05,1.871e-05,9.96e-06,3.3e-06,3.483e-05,0.01597501,0.06497997
"73",0.06047429,0.05400011,0.01115409,3.817e-05,1.927e-05,1.066e-05,3.49e-06,3.576e-05,0.01587552,0.06450001
"74",0.05953998,0.05251799,0.01107694,3.715e-05,1.894e-05,1.039e-05,3.33e-06,3.584e-05,0.015872,0.063175
"75",0.05874999,0.0525701,0.01105139,3.666e-05,1.828e-05,1.019e-05,3.24e-06,3.541e-05,0.01566744,0.061301
"76",0.06124936,0.0526312,0.012531,3.731e-05,1.891e-05,1.029e-05,3.31e-06,3.613e-05,0.01607356,0.06200167
"77",0.059988,0.05279901,0.01210399,3.758e-05,1.896e-05,1.057e-05,3.31e-06,3.665e-05,0.016006,0.06290148
"78",0.06150262,0.05431603,0.01259999,3.88e-05,1.941e-05,1.052e-05,3.51e-06,3.684e-05,0.016374,0.06218999
"79",0.05941,0.05233927,0.01432445,3.827e-05,1.812e-05,1.039e-05,3.4e-06,3.567e-05,0.01666206,0.06001001
"80",0.06053111,0.05311562,0.01418535,4.096e-05,1.894e-05,1.058e-05,3.47e-06,3.54e-05,0.01687982,0.060863
"81",0.0612,0.0535,0.01460092,4.207e-05,1.904e-05,1.141e-05,3.55e-06,3.621e-05,0.016875,0.0622
"82",0.06163,0.05598,0.01399841,4.309e-05,1.916e-05,1.147e-05,3.73e-06,3.675e-05,0.017,0.06290147
"83",0.0620011,0.0566,0.0142,4.53e-05,1.913e-05,1.162e-05,3.81e-06,3.699e-05,0.01661016,0.0651644
"84",0.0609585,0.05646508,0.01441663,4.799e-05,1.907e-05,1.147e-05,4.13e-06,4.086e-05,0.016505,0.06410001
"85",0.06088775,0.05857988,0.01522,4.858e-05,1.868e-05,1.16e-05,4.2e-06,3.941e-05,0.01671998,0.06316
"86",0.06053695,0.06150021,0.01542623,5.193e-05,1.885e-05,1.178e-05,4.34e-06,4.15e-05,0.01701042,0.06453828
"87",0.06108022,0.06122167,0.01634034,5.659e-05,1.928e-05,1.248e-05,4.87e-06,4.895e-05,0.01679999,0.06453843
"88",0.0606,0.06034,0.01645,5.648e-05,2.111e-05,1.401e-05,6.38e-06,4.642e-05,0.0176199,0.06819112
"89",0.06299997,0.0605001,0.01683513,6.622e-05,2.171e-05,1.518e-05,7.7e-06,4.807e-05,0.01793998,0.06942691
"90",0.06607329,0.06175988,0.01714875,6.7e-05,2.325e-05,1.403e-05,7.13e-06,4.744e-05,0.01910001,0.0704942
"91",0.06290479,0.05769726,0.01607,6.197e-05,2.166e-05,1.523e-05,6.79e-06,4.642e-05,0.01789699,0.06635832
"92",0.06380001,0.0593,0.01696,6.045e-05,2.137e-05,1.486e-05,7e-06,4.691e-05,0.01839534,0.06643715
"93",0.06421382,0.059674,0.01741012,6.461e-05,2.311e-05,1.739e-05,8.51e-06,4.805e-05,0.01911401,0.06877504
"94",0.06350001,0.05870504,0.01689582,6.3e-05,2.216e-05,1.582e-05,7.95e-06,4.73e-05,0.01864605,0.06704411
"95",0.064028,0.058845,0.01682584,6.289e-05,2.168e-05,1.769e-05,1.011e-05,4.709e-05,0.01860191,0.06610501
"96",0.064,0.05972503,0.01690393,6.22e-05,2.195e-05,1.723e-05,9.9e-06,4.573e-05,0.018274,0.06548347
"97",0.06221166,0.05933002,0.017308,6.301e-05,2.384e-05,1.802e-05,1.245e-05,4.662e-05,0.018217,0.06603488
"98",0.06302187,0.0604899,0.017956,6.45e-05,2.367e-05,2.022e-05,1.409e-05,4.629e-05,0.01841032,0.06883909
"99",0.06282194,0.0595,0.01901681,6.302e-05,2.85e-05,2.052e-05,1.35e-05,4.637e-05,0.018378,0.06850827
"100",0.0626,0.05998999,0.01972,6.882e-05,2.899e-05,2.032e-05,1.342e-05,4.516e-05,0.01880601,0.06701336
"101",0.06360925,0.06049997,0.0191,8.09e-05,2.973e-05,2.231e-05,1.684e-05,5.5e-05,0.018762,0.06616502
"102",0.06493,0.061019,0.01912,8.21e-05,2.863e-05,2.406e-05,1.882e-05,5.9e-05,0.01937878,0.06685503
"103",0.0678,0.06021994,0.01902016,9.451e-05,2.932e-05,2.306e-05,2.729e-05,6.4e-05,0.0216107,0.067553
"104",0.06710014,0.05839985,0.01899981,8.928e-05,2.736e-05,2.172e-05,2.796e-05,6.27e-05,0.02085537,0.065076
"105",0.06334905,0.056296,0.0182,0.0001049,2.745e-05,2.217e-05,3.199e-05,7.605e-05,0.019096,0.06311102
"106",0.06198448,0.05514994,0.01787998,0.00011252,2.729e-05,2.399e-05,2.999e-05,7.7e-05,0.01857115,0.06459401
"107",0.0618,0.05522,0.01830075,0.00012965,2.736e-05,2.352e-05,2.765e-05,8.049e-05,0.01868,0.0638
"108",0.060006,0.0559,0.01812679,0.00013697,2.736e-05,2.692e-05,2.968e-05,6.886e-05,0.01841121,0.06526702
"109",0.06032,0.054704,0.01788996,0.000115,3.066e-05,3.378e-05,2.801e-05,7.449e-05,0.01846119,0.06531649
"110",0.0586426,0.05209979,0.0167714,0.00011576,2.989e-05,3.088e-05,2.317e-05,7.397e-05,0.01775,0.06185882
"111",0.056,0.0491059,0.0153,8.587e-05,2.802e-05,2.6e-05,1.88e-05,5.889e-05,0.01755979,0.0596
"112",0.044,0.04457764,0.01347,7.5e-05,2.442e-05,1.621e-05,1.232e-05,5.605e-05,0.0149,0.05290076
"113",0.04899499,0.046,0.01484501,9.59e-05,2.318e-05,2.094e-05,1.639e-05,6.603e-05,0.01569803,0.0530085
"114",0.05275989,0.04859999,0.01695,9.82e-05,2.667e-05,2.454e-05,1.866e-05,7.036e-05,0.01651912,0.055
"115",0.05200006,0.04888777,0.01669162,9.297e-05,2.761e-05,2.189e-05,1.736e-05,6.724e-05,0.01620166,0.05315799
"116",0.05229504,0.05060001,0.01939998,9.11e-05,2.555e-05,2.149e-05,1.576e-05,6.56e-05,0.01629998,0.05477261
"117",0.05372731,0.0523,0.018509,0.00011127,2.618e-05,2.35e-05,2.131e-05,6.8e-05,0.0164561,0.05541501
"118",0.05478101,0.05126,0.02216,0.0001032,2.602e-05,2.389e-05,1.919e-05,6.395e-05,0.017503,0.05785453
"119",0.05395567,0.05195763,0.02108462,0.00010361,2.644e-05,2.43e-05,1.93e-05,6.499e-05,0.01715984,0.05785454
"120",0.05138561,0.049973,0.019178,9.54e-05,2.399e-05,2.208e-05,1.675e-05,5.974e-05,0.01670664,0.05449513
"121",0.0515,0.04986959,0.01823912,9.98e-05,2.504e-05,2.196e-05,1.68e-05,6.212e-05,0.017,0.05510499
"122",0.05176544,0.0492,0.01786086,0.00010501,2.501e-05,2.294e-05,1.776e-05,6.308e-05,0.01693898,0.05409
"123",0.05134913,0.04934996,0.01601697,9.697e-05,2.382e-05,2.004e-05,1.612e-05,6.16e-05,0.016885,0.05509
"124",0.04983006,0.04701098,0.01665335,9.311e-05,2.25e-05,1.875e-05,1.542e-05,5.966e-05,0.015869,0.05210308
"125",0.05017016,0.04855652,0.0172,9.577e-05,2.251e-05,2.049e-05,1.598e-05,6.199e-05,0.01598502,0.05270011
"126",0.05010001,0.04779099,0.01645782,9.601e-05,2.277e-05,1.945e-05,1.613e-05,6.169e-05,0.016,0.052901
"127",0.04930001,0.0474,0.0163,9.77e-05,2.21e-05,1.975e-05,2.398e-05,6.057e-05,0.01604501,0.052374
"128",0.04973765,0.04799003,0.01674481,9.999e-05,2.27e-05,2.031e-05,2.022e-05,6.023e-05,0.01615603,0.05151001
"129",0.0507,0.04940301,0.01708357,0.00010452,2.293e-05,2.177e-05,2.163e-05,6.367e-05,0.01644672,0.05316034
